from,to,relation,style_override,label
p_hikoimasu,p_yamashiro,biological_parent,,
p_yamashiro,p_kaname,biological_parent,,
p_kaname,p_okinaga,biological_parent,,
p_okinaga,p_jingu,biological_parent,,
t012,p_yamatotakeru,biological_parent,,
t012,t013,biological_parent,,
t014,u_chuai_jingu,spouse_to_union,,
p_jingu,u_chuai_jingu,spouse_to_union,,
u_chuai_jingu,t015,union_to_child,,
t015,p_wakasako,biological_parent,,
p_wakasako,p_ohoji,biological_parent,,
p_ohoji,p_oshi,biological_parent,,
p_oshi,p_hikoushino,biological_parent,,
t016,t017,biological_parent,,
t016,t018,biological_parent,,
t016,t019,biological_parent,bloodline_orange,
t017,p_ichinobe,biological_parent,,
t019,t020,biological_parent,,
t019,t021,biological_parent,bloodline_orange,
t021,t022,biological_parent,,
p_ichinobe,t023,biological_parent,,
p_ichinobe,t024,biological_parent,,
t024,t025,biological_parent,,
t026,u_keitai_tashiraka,spouse_to_union,,
p_tashiraka,u_keitai_tashiraka,spouse_to_union,,
u_keitai_tashiraka,t029,union_to_child,,
t026,t027,biological_parent,,
t026,t028,biological_parent,,
t029,t031,biological_parent,,
t029,t032,biological_parent,,
t029,t033,biological_parent,,
t030,p_oshisaka,biological_parent,,
p_oshisaka,p_chinu,biological_parent,,
t034,u_jomei_kogyoku,spouse_to_union,,
t035t037,u_jomei_kogyoku,spouse_to_union,,
u_jomei_kogyoku,t038,union_to_child,,
u_jomei_kogyoku,t040,union_to_child,bloodline_orange,
t038,p_shiki,biological_parent,,
p_shiki,t049,biological_parent,,
t038,t039,biological_parent,bloodline_orange,
t038,t041,biological_parent,,
t038,t043,biological_parent,,
t040,u_temmu_jito,spouse_to_union,,
t041,u_temmu_jito,spouse_to_union,,
u_temmu_jito,p_kusakabe,union_to_child,,
p_kusakabe,u_kusakabe_gemmei,spouse_to_union,,
t043,u_kusakabe_gemmei,spouse_to_union,,
u_kusakabe_gemmei,t042,union_to_child,,
u_kusakabe_gemmei,t044,union_to_child,,
t042,t045,biological_parent,,
t045,t046t048,biological_parent,,
t040,p_toneri,biological_parent,,
p_toneri,t047,biological_parent,,
t049,t050,biological_parent,,
t050,t052,biological_parent,,
t059,t060,biological_parent,,
tn003,fushimi_001,biological_parent,,
