id,name,alias,type,sex,lineage_scope,birth_year,death_year,traditional_life_years,date_quality,date_quality_detail,date_note,display_note,note
t001,1 神武天皇,神日本磐余彦尊,tenno,male,imperial,,,前711–前585,T_traditional,nihon_shoki_based;chronology_conversion;legendary_era,『日本書紀』系の伝承紀年。神武紀元に基づく年代で史実上の生没年とは扱わない,初代天皇,初代天皇
n_ahiratsuhime,吾平津媛,阿比良比売,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀神話・伝承にみえる神武天皇の日向時代の妃。『日本書紀』では吾平津媛とし、手研耳命の母とする。生没年不詳で、史実上の絶対年代は設定しない。,神武天皇の日向時代の妃・手研耳命の母,神武天皇の日向時代の妃・手研耳命の母
u_jimmu_ahiratsuhime,,,marriage,,,,,,,,,神武天皇・吾平津媛の婚姻等関係節点,神武天皇・吾平津媛の婚姻等関係節点
p_tagishimimi,手研耳命,多芸志美美命,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀神話・伝承にみえる神武天皇皇子。神武天皇没後に綏靖天皇・神八井耳命を害そうとして逆に討たれたとされる。生没年不詳で、史実上の絶対年代は設定しない。,神武天皇皇子・綏靖天皇の異母兄,神武天皇皇子・綏靖天皇の異母兄
n_isuzuhime,媛蹈鞴五十鈴媛命,伊須気余理比売命,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition;source_conflict_uncertain,記紀神話・伝承にみえる神武天皇皇后。『日本書紀』では事代主神の娘、『古事記』では大物主神の娘とし、神八井耳命・綏靖天皇の母とする。生没年不詳。,神武天皇皇后・綏靖天皇および神八井耳命の母,神武天皇皇后・綏靖天皇および神八井耳命の母
u_jimmu_isuzuhime,,,marriage,,,,,,,,,神武天皇・媛蹈鞴五十鈴媛命の婚姻等関係節点,神武天皇・媛蹈鞴五十鈴媛命の婚姻等関係節点
p_hikoyai,日子八井命,,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition;source_conflict_uncertain,『古事記』神武天皇段にみえる皇子。『日本書紀』本文にはみえないため、系譜伝承上の人物として扱う。生没年不詳。,『古事記』所見・神武天皇皇子,古事記に見える神武天皇皇子・日本書紀には見えない
p_kamuyai_mimi,神八井耳命,,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀神話・伝承にみえる神武天皇皇子。神武天皇没後の手研耳命討伐伝承に登場し、皇位を弟の綏靖天皇に譲ったとされる。生没年不詳。,神武天皇皇子・綏靖天皇の同母兄,神武天皇皇子・綏靖天皇の同母兄
t002,2 綏靖天皇,神渟名川耳尊,tenno,male,imperial,,,前632–前549,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
n_isuzuyori,五十鈴依媛命,河俣毘売,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition;source_conflict_uncertain,記紀神話・伝承にみえる綏靖天皇皇后。『日本書紀』では五十鈴依媛命、『古事記』では河俣毘売とする。安寧天皇の母とされる。生没年不詳。,綏靖天皇皇后・安寧天皇の母,綏靖天皇皇后・安寧天皇の母。日本書紀は五十鈴依媛命、古事記は河俣毘売とする
u_suizei_isuzuyori,,,marriage,,,,,,,,,綏靖天皇・五十鈴依媛命の婚姻等関係節点,綏靖天皇・五十鈴依媛命の婚姻等関係節点
t003,3 安寧天皇,磯城津彦玉手看尊,tenno,male,imperial,,,前577–前511,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
n_nunasoko,渟名底仲媛命,阿久斗比売,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition;source_conflict_uncertain,記紀神話・伝承にみえる安寧天皇皇后。『日本書紀』では渟名底仲媛命、『古事記』では阿久斗比売とする。生没年不詳。,安寧天皇皇后,安寧天皇皇后。日本書紀は渟名底仲媛命、古事記は阿久斗比売とする
u_annei_nunasoko,,,marriage,,,,,,,,,安寧天皇・渟名底仲媛命の婚姻等関係節点,安寧天皇・渟名底仲媛命の婚姻等関係節点
p_okisomimi,息石耳命,常津彦命,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる安寧天皇皇子。懿徳天皇皇后・天豊津媛命の父とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,安寧天皇第一皇子・天豊津媛命の父,安寧天皇第一皇子・天豊津媛命の父
p_shikitsuhiko,磯城津彦命,師木津日子命,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition;source_conflict_uncertain,『日本書紀』安寧天皇紀の一書にみえる皇子。本文系譜との差があるため異伝所見の人物として扱う。生没年不詳。,安寧天皇皇子（『日本書紀』一書所見）,安寧天皇皇子。日本書紀の一書に見える
p_amatoyotsuhime,天豊津媛命,賦登麻和訶比売命,princess,female,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる懿徳天皇皇后。息石耳命の娘で、孝昭天皇の母とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,息石耳命の娘・懿徳天皇皇后・孝昭天皇の母,息石耳命の娘・懿徳天皇皇后・孝昭天皇の母
t004,4 懿徳天皇,大日本彦耜友尊,tenno,male,imperial,,,前553–前477,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
u_itoku_amatoyotsuhime,,,marriage,,,,,,,,,懿徳天皇・天豊津媛命の婚姻等関係節点,懿徳天皇・天豊津媛命の婚姻等関係節点
p_takeshihiko,武石彦奇友背命,多芸志比古命,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる懿徳天皇皇子。孝昭天皇の同母弟とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,懿徳天皇皇子・孝昭天皇の同母弟とされる,懿徳天皇皇子・孝昭天皇の同母弟とされる
t005,5 孝昭天皇,観松彦香殖稲尊,tenno,male,imperial,,,前506–前393,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
n_yosotarashi,世襲足媛,余曽多本毘売命,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる孝昭天皇皇后。天足彦国押人命・孝安天皇の母とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,孝昭天皇皇后・孝安天皇の母,孝昭天皇皇后・天足彦国押人命および孝安天皇の母
u_kosho_yosotarashi,,,marriage,,,,,,,,,孝昭天皇・世襲足媛の婚姻等関係節点,孝昭天皇・世襲足媛の婚姻等関係節点
p_ameoshitarashi,天足彦国押人命,天押帯日子命,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる孝昭天皇皇子。孝安天皇の同母兄で、押媛の父とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,孝昭天皇第一皇子・孝安天皇の同母兄,孝昭天皇第一皇子・孝安天皇の同母兄
t006,6 孝安天皇,日本足彦国押人尊,tenno,male,imperial,,,前427–前291,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
p_oshihime,押媛,忍鹿比売命,princess,female,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる孝安天皇皇后。天足彦国押人命の娘で、孝霊天皇の母とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,天足彦国押人命娘・孝霊天皇の母,天足彦国押人命の娘・孝安天皇皇后・孝霊天皇の母
u_koan_oshihime,,,marriage,,,,,,,,,孝安天皇・押媛の婚姻等関係節点,孝安天皇・押媛の婚姻等関係節点
p_okibi_morosusume,大吉備諸進命,,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる孝安天皇皇子。孝霊天皇の同母兄とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,孝安天皇皇子・孝霊天皇の同母兄とされる,孝安天皇皇子・孝霊天皇の同母兄とされる
t007,7 孝霊天皇,大日本根子彦太瓊尊,tenno,male,imperial,,,前342–前215,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
n_hosohime,細媛命,細比売命,civil_princess,female,non_imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,記紀系譜にみえる孝霊天皇皇后。孝元天皇の母とされる。生没年不詳で、欠史八代周辺の系譜伝承として扱う。,孝霊天皇皇后・孝元天皇の母,孝霊天皇皇后・孝元天皇の母
u_korei_hosohime,,,marriage,,,,,,,,,孝霊天皇・細媛命の婚姻等関係節点,孝霊天皇・細媛命の婚姻等関係節点
t008,8 孝元天皇,大日本根子彦国牽尊,tenno,male,imperial,,,前273–前158,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代,欠史八代
n_utsushikome,鬱色謎命,内色許売命,civil_princess,female,non_imperial,,,,U_undated,genealogical_tradition,記紀にみえる孝元天皇皇后。大彦命・開化天皇らの母とされ、『古事記』では内色許売命。生没年不詳。,孝元天皇皇后・大彦命および開化天皇の母,孝元天皇皇后・大彦命および開化天皇の母
u_kogen_utsushikome,,,marriage,,,,,,,,,孝元天皇・鬱色謎命の婚姻等関係節点,孝元天皇・鬱色謎命の婚姻等関係節点
p_ohiko,大彦命,大毘古命,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only;external_source_contact,記紀にみえる孝元天皇皇子で、開化天皇の同母兄。『日本書紀』崇神10年条で四道将軍の一人として北陸へ派遣されたとされる。稲荷山古墳鉄剣銘の「意富比垝」を大彦命に比定する可能性が論じられており、考古資料との接点を持つが同一人物と確定はしない。生没年不詳。,孝元天皇皇子・開化天皇同母兄,孝元天皇皇子・開化天皇の同母兄・四道将軍の一人とされる
p_mimakihime,御間城姫,御真津比売命,princess,female,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記紀にみえる崇神天皇皇后。大彦命の娘で、垂仁天皇らの母とされる。『日本書紀』では崇神元年に立后。生没年不詳で、立后年次は伝承上の年次として扱う。,大彦命の娘・崇神天皇皇后・垂仁天皇の母,大彦命の娘・崇神天皇皇后・垂仁天皇の母
u_sujin_mimakihime,,,marriage,,,,,,,,,崇神天皇・御間城姫の婚姻等関係節点,崇神天皇・御間城姫の婚姻等関係節点
t009,9 開化天皇,稚日本根子彦大日日尊,tenno,male,imperial,,,前208–前98,T_traditional,nihon_shoki_based;chronology_conversion;kesshi_hachidai;legendary_era,『日本書紀』系の伝承紀年。欠史八代,欠史八代最後の天皇,欠史八代最後の天皇
p_hikoimasu,彦坐王,日子坐王,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記・紀にみえる開化天皇皇子。『日本書紀』開化6年条に出生系譜、垂仁5年条で丹波道主命の父として現れる。生没年不詳。,開化天皇皇子,開化天皇皇子・丹波道主命・山代之大筒木真若王らの父
p_tanbamichinushi,丹波道主命,丹波道主王,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記・紀にみえる開化天皇孫・彦坐王の子。『日本書紀』崇神10年条で四道将軍の一人として丹波へ派遣され、垂仁5年条で日葉酢媛命らの父として現れる。生没年不詳。,彦坐王の子・日葉酢媛命の父,彦坐王の子・日葉酢媛命の父
p_hibasuhime,日葉酢媛命,日葉洲媛命,princess,female,imperial,,,?–3,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth,記・紀にみえる垂仁天皇皇后。『日本書紀』では垂仁15年8月に立后し、同32年7月に死去。垂仁天皇の伝承紀年（元年=前29年）に換算すると没年は西暦3年に相当するため、?–3を伝承紀年として収録する。生年不詳で、史実上の絶対年代とは扱わない。,丹波道主命の娘・垂仁天皇皇后・景行天皇の母,丹波道主命の娘・垂仁天皇皇后・景行天皇の母
u_suinin_hibasuhime,,,marriage,,,,,,,,,垂仁天皇・日葉酢媛命の婚姻等関係節点,垂仁天皇・日葉酢媛命の婚姻等関係節点
n_ikagashikome,伊香色謎命,伊迦賀色許売命,civil_princess,female,non_imperial,,,,U_undated,genealogical_tradition,記紀にみえる皇后。孝元天皇の妃となったのち開化天皇の皇后となり、崇神天皇を生んだと伝える。『古事記』では伊迦賀色許売命。生没年不詳。,開化天皇皇后・崇神天皇の母,開化天皇皇后・崇神天皇の母。孝元天皇の妃でもあったと伝わる
u_kaika_ikagashikome,,,marriage,,,,,,,,,開化天皇・伊香色謎命の婚姻等関係節点,開化天皇・伊香色謎命の婚姻等関係節点
n_hahatsuhime,姥津媛命,意祁都比売命,civil_princess,female,non_imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,『日本書紀』開化6年条にみえる開化天皇妃で、彦坐王の母。和珥氏の遠祖姥津命の妹とされる。生没年不詳。,開化天皇妃・彦坐王の母とする日本書紀系の伝承,開化天皇妃・彦坐王の母とする日本書紀系の伝承
u_kaika_hahatsuhime,,,marriage,,,,,,,,,開化天皇・姥津媛命の婚姻等関係節点,開化天皇・姥津媛命の婚姻等関係節点
p_yamashiro,山代之大筒木真若王,,prince,male,imperial,,,,U_undated,genealogical_tradition,『古事記』開化天皇段にみえる彦坐王の子。丹波能阿治佐波毘売との間に迦邇米雷王をもうける。生没年不詳。,彦坐王皇子・迦邇米雷王の父,『古事記』開化天皇段にみえる彦坐王の皇子・迦邇米雷王の父
p_kaname,迦邇米雷王,迦爾米雷王,prince,male,imperial,,,,U_undated,genealogical_tradition,『古事記』開化天皇段にみえる山代之大筒木真若王の子。高材比売との間に息長宿禰王をもうける。生没年不詳。,山代之大筒木真若王の皇子・息長宿禰王の父,『古事記』開化天皇段にみえる山代之大筒木真若王の皇子・息長宿禰王の父
